iter	Passed	Remaining
0	7	7186
1	13	6629
2	19	6597
3	26	6643
4	34	6835
5	41	6821
6	48	6872
7	55	6854
8	63	6989
9	70	6938
10	77	6942
11	83	6907
12	91	6926
13	97	6880
14	104	6865
15	110	6824
16	117	6806
17	123	6754
18	131	6770
19	137	6749
20	145	6773
21	153	6814
22	162	6888
23	170	6925
24	177	6925
25	184	6910
26	192	6942
27	199	6929
28	208	6982
29	215	6964
30	231	7239
31	241	7301
32	249	7314
33	260	7407
34	268	7392
35	277	7440
36	283	7383
37	292	7403
38	301	7422
39	309	7420
40	318	7451
41	325	7423
42	332	7408
43	342	7432
44	348	7398
45	357	7421
46	364	7392
47	375	7441
48	382	7427
49	389	7405
50	397	7397
51	405	7384
52	411	7351
53	418	7335
54	425	7307
55	431	7274
56	438	7249
57	445	7228
58	452	7218
59	458	7185
60	465	7171
61	474	7172
62	480	7141
63	486	7121
64	493	7091
65	499	7062
66	505	7034
67	511	7005
68	517	6981
69	525	6979
70	532	6968
71	539	6956
72	547	6955
73	556	6964
74	565	6969
75	572	6963
76	578	6938
77	586	6935
78	593	6924
79	600	6904
80	607	6889
81	613	6873
82	621	6867
83	628	6858
84	636	6856
85	644	6844
86	651	6839
87	659	6833
88	669	6852
89	675	6830
90	686	6853
91	700	6909
92	710	6924
93	719	6936
94	728	6936
95	737	6942
96	745	6939
97	752	6929
98	759	6913
99	769	6921
100	774	6896
101	783	6894
102	789	6879
103	796	6864
104	805	6863
105	814	6871
106	821	6857
107	829	6847
108	836	6840
109	844	6832
110	851	6823
111	859	6815
112	868	6814
113	876	6809
114	884	6806
115	891	6797
116	899	6791
117	906	6774
118	914	6770
119	939	6887
120	947	6881
121	953	6861
122	960	6850
123	968	6843
124	976	6832
125	982	6813
126	989	6800
127	996	6791
128	1003	6778
129	1012	6777
130	1019	6765
131	1028	6762
132	1034	6742
133	1041	6730
134	1049	6727
135	1056	6710
136	1063	6700
137	1069	6683
138	1075	6664
139	1085	6669
140	1094	6665
141	1102	6659
142	1113	6670
143	1120	6661
144	1130	6664
145	1137	6653
146	1145	6646
147	1151	6628
148	1159	6623
149	1169	6625
150	1179	6631
151	1186	6617
152	1196	6624
153	1203	6612
154	1213	6616
155	1221	6609
156	1230	6608
157	1238	6600
158	1297	6862
159	1314	6903
160	1322	6892
161	1341	6941
162	1350	6934
163	1358	6925
164	1366	6917
165	1373	6903
166	1380	6883
167	1386	6866
168	1392	6846
169	1399	6835
170	1406	6818
171	1412	6800
172	1418	6783
173	1426	6771
174	1434	6762
175	1441	6747
176	1448	6735
177	1455	6722
178	1463	6713
179	1471	6701
180	1478	6690
181	1485	6678
182	1493	6666
183	1499	6649
184	1506	6636
185	1513	6623
186	1520	6612
187	1528	6602
188	1536	6593
189	1546	6591
190	1553	6578
191	1562	6575
192	1569	6563
193	1578	6558
194	1596	6590
195	1605	6584
196	1612	6572
197	1619	6561
198	1628	6555
199	1636	6545
200	1645	6541
201	1652	6529
202	1659	6514
203	1667	6506
204	1674	6495
205	1682	6485
206	1689	6472
207	1696	6459
208	1702	6445
209	1710	6433
210	1717	6421
211	1724	6408
212	1730	6394
213	1737	6381
214	1743	6366
215	1750	6352
216	1756	6339
217	1765	6333
218	1773	6324
219	1780	6313
220	1788	6303
221	1796	6295
222	1803	6282
223	1809	6269
224	1817	6259
225	1824	6248
226	1831	6238
227	1839	6227
228	1846	6215
229	1853	6205
230	1859	6190
231	1866	6177
232	1874	6169
233	1881	6158
234	1889	6149
235	1895	6137
236	1903	6127
237	1909	6112
238	1916	6102
239	1924	6092
240	1930	6080
241	1937	6068
242	1944	6058
243	1951	6046
244	1958	6034
245	1965	6025
246	1973	6016
247	1981	6008
248	1987	5995
249	1995	5985
250	2002	5974
251	2008	5962
252	2015	5950
253	2021	5937
254	2027	5923
255	2034	5912
256	2041	5901
257	2048	5890
258	2053	5876
259	2061	5866
260	2067	5854
261	2074	5844
262	2081	5833
263	2087	5820
264	2095	5811
265	2102	5802
266	2109	5791
267	2116	5779
268	2122	5768
269	2129	5758
270	2137	5749
271	2144	5738
272	2150	5726
273	2158	5718
274	2165	5708
275	2172	5698
276	2181	5693
277	2189	5685
278	2195	5674
